Year,AvgRate,Q1,Q2,Q3,Q4,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1971,71.8,72.2,72,71.7,71.5,NULL,72.2,72.1,72,72,71.9,71.8,71.7,71.6,71.5,71.5,71.5
1972,72,71.8,71.9,72,72.2,71.6,71.8,71.9,71.9,71.9,71.9,71.9,72,72,72.1,72.2,72.4
1973,72.9,72.8,73,72.9,73,72.6,72.8,72.9,73,73,72.9,72.9,72.9,72.9,73,73,73
1974,73,72.9,73,73.1,73.1,73,72.9,72.9,72.9,73,73,73.1,73.1,73.1,73.1,73.1,73
1975,72.6,72.9,72.7,72.6,72.3,72.9,72.9,72.8,72.7,72.7,72.7,72.6,72.6,72.5,72.4,72.3,72.3
1976,71.9,72.1,72,71.9,71.8,72.2,72.1,72,72,72,71.9,71.9,71.9,71.8,71.8,71.8,71.8
1977,71.6,71.8,71.6,71.6,71.5,71.8,71.8,71.7,71.7,71.6,71.6,71.6,71.6,71.6,71.5,71.5,71.5
1978,71.6,71.5,71.5,71.5,71.7,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.6,71.7,71.8
1979,71.8,71.8,71.7,71.8,71.7,71.8,71.8,71.7,71.7,71.7,71.8,71.8,71.8,71.8,71.8,71.7,71.7
1980,70.8,71.5,71.2,70.7,69.9,71.6,71.5,71.4,71.3,71.2,71.1,70.9,70.7,70.4,70.2,69.9,69.7
1981,68.5,69.3,68.7,68.2,67.7,69.5,69.3,69.1,68.9,68.7,68.5,68.4,68.2,68.1,67.9,67.7,67.6
1982,66.8,67.4,67.1,66.6,66.1,67.5,67.4,67.3,67.2,67.1,66.9,66.8,66.6,66.5,66.3,66.1,65.9
1983,65.9,65.7,65.6,65.9,66.3,65.8,65.7,65.6,65.6,65.6,65.6,65.7,65.9,66,66.2,66.3,66.4
1984,66.8,66.5,66.7,66.8,67.1,66.4,66.5,66.6,66.6,66.7,66.7,66.8,66.8,66.9,67,67.1,67.1
1985,67.4,67.3,67.4,67.5,67.5,67.2,67.3,67.3,67.3,67.4,67.4,67.4,67.5,67.5,67.5,67.5,67.5
1986,67.7,67.6,67.6,67.8,67.9,67.6,67.6,67.6,67.6,67.6,67.6,67.7,67.8,67.8,67.9,67.9,68
1987,68.8,68.1,68.5,69.1,69.7,68,68.1,68.2,68.3,68.5,68.7,68.9,69.1,69.3,69.5,69.7,69.9
1988,70.9,70.2,70.7,71.1,71.5,70,70.2,70.4,70.5,70.7,70.8,70.9,71.1,71.3,71.4,71.5,71.7
1989,72.5,72.1,72.4,72.6,72.8,71.9,72.1,72.3,72.4,72.4,72.5,72.5,72.6,72.6,72.7,72.8,72.8
1990,72.7,72.8,72.8,72.7,72.3,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.7,72.6,72.4,72.3,72.1
1991,70.7,71.7,71,70.3,69.8,71.9,71.7,71.5,71.2,71,70.7,70.5,70.3,70.1,69.9,69.8,69.6
1992,69,69.4,69.1,68.9,68.5,69.5,69.4,69.3,69.2,69.1,69,68.9,68.9,68.8,68.7,68.5,68.4
1993,68.4,68.4,68.4,68.5,68.5,68.3,68.4,68.3,68.4,68.4,68.4,68.4,68.5,68.5,68.5,68.5,68.5
1994,68.9,68.7,68.8,69,69.1,68.6,68.7,68.8,68.8,68.8,69,69,69,69,69.1,69.1,69
1995,69.5,69.2,69.4,69.6,69.9,69.1,69.2,69.3,69.4,69.4,69.5,69.6,69.6,69.7,69.7,69.9,70
1996,70,69.9,69.9,70,70.3,69.9,69.9,69.9,69.9,69.9,69.9,70,70,70.1,70.3,70.3,70.5
1997,71,70.8,71,71.1,71.2,70.6,70.8,70.9,70.9,71,70.9,70.9,71.1,71.1,71.2,71.2,71.2
1998,71.5,71.3,71.3,71.6,71.8,71.2,71.3,71.3,71.3,71.3,71.4,71.6,71.6,71.6,71.8,71.8,71.9
1999,72.1,71.9,71.9,72.1,72.3,71.9,71.9,71.8,71.8,71.9,71.9,72,72.1,72.1,72.2,72.3,72.2
2000,72.5,72.3,72.5,72.6,72.5,72.2,72.3,72.3,72.4,72.5,72.6,72.7,72.6,72.5,72.4,72.5,72.7
2001,72.6,72.6,72.7,72.5,72.6,72.6,72.6,72.7,72.7,72.7,72.6,72.6,72.5,72.5,72.6,72.6,72.5
2002,72.7,72.5,72.7,72.6,72.9,72.5,72.5,72.6,72.6,72.7,72.6,72.7,72.6,72.7,72.8,72.9,72.8
2003,72.8,72.7,72.9,72.8,72.8,72.6,72.7,72.7,72.8,72.9,72.8,72.8,72.8,72.8,72.8,72.8,73
2004,72.9,73,72.9,72.9,73,73,73,73,72.9,72.9,72.8,72.8,72.9,72.9,73,73,73.1
2005,72.9,73.1,72.9,73,72.7,73.2,73.1,72.9,72.9,72.9,73,73,73,72.9,72.8,72.7,72.8
2006,72.8,72.9,72.8,72.8,72.7,72.8,72.9,72.9,72.8,72.8,72.9,73,72.8,72.8,72.7,72.7,72.6
2007,72.7,72.5,72.7,72.7,72.9,72.5,72.5,72.5,72.7,72.7,72.6,72.6,72.7,72.8,72.8,72.9,72.9
2008,72.6,73,72.9,72.4,72.2,73,73,73,73,72.9,72.8,72.6,72.4,72.3,72.3,72.2,72.2
2009,70.9,71.7,70.8,70.6,70.6,71.9,71.7,71.4,71,70.8,70.6,70.7,70.6,70.6,70.6,70.6,70.4
2010,70.4,70.2,70.4,70.7,70.4,70.3,70.2,70.2,70.4,70.4,70.6,70.6,70.7,70.5,70.3,70.4,70.5
2011,70.3,70.5,70.5,70.1,70.2,70.6,70.5,70.5,70.5,70.5,70.2,70.2,70.1,70.1,70.1,70.2,70.2
2012,71,70.5,70.9,71.1,71.4,70.3,70.5,70.5,70.7,70.9,71.1,71.2,71.1,71.1,71.3,71.4,71.4
2013,71.6,71.2,71.3,71.7,72,71.2,71.2,71.2,71.2,71.3,71.5,71.5,71.7,71.9,72,72,72.1
2014,72.9,72.5,72.8,73,73.2,72.4,72.5,72.7,72.9,72.8,72.8,73,73,73,73,73.2,73.3
2015,73.7,73.4,73.4,73.8,74.1,73.4,73.4,73.4,73.3,73.4,73.5,73.6,73.8,74,74,74.1,74.1
2016,74.4,74.1,74.4,74.4,74.6,74.1,74.1,74.2,74.4,74.4,74.5,74.5,74.4,74.4,74.4,74.6,74.5
2017,75,74.8,75.1,75,75.2,74.6,74.8,74.8,74.9,75.1,75.3,75.1,75,75.1,75.3,75.2,75.3
2018,75.6,75.6,75.5,75.6,75.8,75.4,75.6,75.6,75.6,75.5,75.5,75.6,75.6,75.7,75.8,75.8,76.1
2019,76.2,76.1,76.1,76,76.5,76.1,76.1,76.1,76,76.1,76.1,75.9,76,76.2,76.3,76.5,76.5
